ParameterID TabuLen maxTime maxIter maxStable MinFitness AverageFitness MaxFitness VarianceFitness MinTime AverageTime MaxTime VarianceTime 
Parameter1 20 10 100000 200 11645.0 11657.5 11670.0 12.5 20.904 23.5795 26.255 2.6754999999999995 
ParameterID TabuLen maxTime maxIter maxStable MinFitness AverageFitness MaxFitness VarianceFitness MinTime AverageTime MaxTime VarianceTime 
Parameter1 20 10 100000 200 11655.0 11957.0 12259.0 302.0 26.162 26.488999999999997 26.816 0.32699999999999996 
ParameterID TabuLen maxTime maxIter maxStable MinFitness AverageFitness MaxFitness VarianceFitness MinTime AverageTime MaxTime VarianceTime 
Parameter1 40 20 50000 300 11541.0 11932.0 12323.0 391.0 35.186 35.951499999999996 36.717 0.7654999999999994 
ParameterID TabuLen maxTime maxIter maxStable MinFitness AverageFitness MaxFitness VarianceFitness MinTime AverageTime MaxTime VarianceTime 
Parameter1 40 20 50000 300 11295.0 11473.5 11652.0 178.5 33.01 33.5715 34.133 0.5615000000000023 
